time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-08-03 14:09:35.609 UTC, ,125,3159821,952,13696,272, ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470233375118,3145728, , , , ,2,16,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,19428008,-1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 14:10:33.363 UTC, ,1029,3846445,1160,699688, , ,84, ,10083, , , , , , , , , ,84,5, , , , ,81,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470233375118,3145728, , , , ,10003,47416,10003,2,10003, , ,3,10003, , , , , , , , , , , ,4096,2,1539258,10003, , , , , , ,2,32,22002672,-1, , , , , , ,10006, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , ,1, ,10000, ,1, , , , , , , , , , , , , , , , , , , 
2016-08-03 14:31:01.479 UTC, ,125,3159277,1160,13288,136, ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,17,6, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470234660758,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,12288,6, , , , ,1636352,208, , , , , , , , , , ,22342600,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 14:31:04.331 UTC, ,125,3846005,1160,700152, , ,84, ,164,81,0.49, , , , , , , ,84,5, , , ,3,81,7, ,3,2, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470234660758,3145728, , , ,85, , , , , , , ,3, , , , ,85,1,4096,2, , , ,80,622355,163, , , , , , , , ,2,19,18018512,-1, , , , , , ,10005, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10001, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , 
2016-12-02 12:16:28.898 UTC, ,125,3159277,1160,13288,136, ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,17,6, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480680988246,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,12288,6, , , , ,1636352,208, , , , , , , , , , ,22476240,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-12-02 12:16:32.156 UTC, ,125,3846005,1160,700152, , ,84, ,164,81,0.49, , , , , , , ,84,5, , , ,3,81,7, ,3,2, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480680988246,3145728, , , ,85, , , , , , , ,3, , , , ,85,1,4096,2, , , ,80,622355,163, , , , , , , , ,2,17,17363144,-1, , , , , , ,10005, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10001, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , 
2016-12-02 12:19:04.679 UTC, ,125,3159277,1160,13288,136, ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,17,6, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480681144027,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,12288,6, , , , ,1636352,208, , , , , , , , , , ,23050552,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-12-02 12:19:22.107 UTC, ,125,3159277,1160,13288,136, ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,17,6, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480681161454,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,12288,6, , , , ,1636352,208, , , , , , , , , , ,22450360,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-12-02 12:19:56.317 UTC, ,125,3159221,1160,13288,80, ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,16,6, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480681195665,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,12288,6, , , , ,1636352,208, , , , , , , , , , ,22450128,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-12-02 12:20:27.784 UTC, ,125,3159221,1160,13288,80, ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,16,6, , , , , , , , , , , , , ,1546903,2, ,1540303, , , , , , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480681227143,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,12288,5, , , , ,1634304,207, , , , , , , , , , ,22449656,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
