time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-08-03 13:41:55.852 UTC, ,125,3163021,1056,16816,352, ,4, ,6, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231715320,3145728, , , , ,3,20,2,4,3, , ,3,3, , , , , , , ,38,1, , ,6144,3,1213,3, , , , , , , , ,19432688,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , 
2016-08-03 13:41:55.859 UTC, ,125,3162669,1056,16816, , ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231715320,3145728, , , , ,1,8,2, ,1, , ,3,2, , , , , , , , , , , , , ,26,1, , , , , , , , ,19432688,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:41:57.667 UTC, ,125,3157973,928,12040,80, ,3, ,17,3,0.18, , , , , , , ,3,3, ,2, ,2,1,5, ,13,5, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231717179,3145728, , , ,12, , , ,3, , , ,3, , , , ,13,1,2048,1, , , , ,100352,22, , , , , , , , , , ,20164664,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:41:57.674 UTC, ,125,3161709,1056,15856, , ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,4,2,6, ,3,2, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231717179,3145728, , , ,5, , , , , , , ,3, , , , ,4,1, , , , , , ,12288,6, , , , , , , , , , ,20164664,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:41:59.126 UTC, ,125,3159173,1056,13184,136, ,3, ,18,3,0.17, , , , , , , ,3,3, ,2, ,2,1,5, ,14,6, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231718661,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,2048,1, , , , ,106496,25, , , , , , , , , , ,20156904,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:41:59.144 UTC, ,125,3161709,1056,15856, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,4,2,6, ,2,1, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231718661,3145728, , , ,3, , , , , , , ,3, , , , ,3,1, , , , , , ,6144,3, , , , , , , , , , ,20156904,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:00.699 UTC, ,125,3159173,1056,13184,136, ,3, ,18,3,0.17, , , , , , , ,3,3, ,2, ,2,1,5, ,14,6, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231720240,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,2048,1, , , , ,106496,25, , , , , , , , , , ,20166248,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:00.718 UTC, ,125,3161709,1056,15856, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,4,2,6, ,2,1, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231720240,3145728, , , ,3, , , , , , , ,3, , , , ,3,1, , , , , , ,6144,3, , , , , , , , , , ,20166248,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:16.590 UTC, ,125,3159173,1056,13184,136, ,3, ,18,3,0.17, , , , , , , ,3,3, ,2, ,2,1,5, ,14,6, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231736083,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,2048,1, , , , ,106496,25, , , , , , , , , , ,20166560,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:16.706 UTC, ,125,3164845,1160,18992, , ,5, ,17,1,0.06, , , , , , , ,5,5, , , ,3,2,8, ,2,1, , , , , , , , , , , , , ,2167,2, ,1329, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231736083,3145728, , , ,3,11,54,11,2,11, , ,3,11, , , ,3,1, , , , , , ,10240,5,1082,11, , , , , , , , ,20848224,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , ,2, ,10, , , , , , , , , , , , , , , , , , , , , 
